p_code,region_code,region,proposed_position,"name, surname, title",titles,number_titles,mgr,ing,phd,mba,full name,name,surname,sex,age,proposed party,affiliation,party code,elected,votes,votes_pct
80506,8,Královéhradecký,6,Komárková Jaroslava Bc.,Bc.,1,0,0,0,0,Komárková Jaroslava ,Jaroslava ,Komárková ,0,58,ČSSD,ČSSD,5,0,455,3.13
130506,13,Zlínský,6,Kovaříková Milena Mgr.,Mgr.,1,1,0,0,0,Kovaříková Milena ,Milena ,Kovaříková ,0,63,ČSSD,ČSSD,5,0,455,2.96
70404,7,Liberecký,4,Kalvoda Bronislav,nan,0,0,0,0,0,Kalvoda Bronislav,Bronislav,Kalvoda ,1,46,SPD,SPD,4,0,455,1.86
1020021,1,Hl. m. Praha,21,Med Karel Ing.,Ing.,1,0,1,0,0,Med Karel ,Karel ,Med ,1,50,ANO,ANO,20,0,453,0.41
80402,8,Královéhradecký,2,Podal Zdeněk,nan,0,0,0,0,0,Podal Zdeněk,Zdeněk,Podal ,1,68,SPD,SPD,4,0,452,1.69
100505,10,Vysočina,5,Malý Vladimír,nan,0,0,0,0,0,Malý Vladimír,Vladimír,Malý ,1,57,ČSSD,ČSSD,5,0,452,2.48
110803,11,Jihomoravský,3,Sojka Jaroslav,nan,0,0,0,0,0,Sojka Jaroslav,Jaroslav,Sojka ,1,50,TSS,Soukromníci,8,0,452,2.83
801805,8,Královéhradecký,5,Lukášek Josef PaedDr.,PaedDr.,1,0,0,0,0,Lukášek Josef ,Josef ,Lukášek ,1,69,KSČM,KSČM,18,0,451,4.44
1304021,13,Zlínský,21,Tuček Vladislav,nan,0,0,0,0,0,Tuček Vladislav,Vladislav,Tuček ,1,37,SPD,SPD,4,0,450,1.26
11017031,11,Jihomoravský,31,Brodzák Jan Ing.,Ing.,1,0,1,0,0,Brodzák Jan ,Jan ,Brodzák ,1,38,Piráti,Piráti,17,0,449,0.5
10405,1,Hl. m. Praha,5,Zumrová Lenka,nan,0,0,0,0,0,Zumrová Lenka,Lenka,Zumrová ,0,31,SPD,SPD,4,0,449,1.55
20506,2,Středočeský,6,Kowanda Petr JUDr.,JUDr.,1,0,0,0,0,Kowanda Petr ,Petr ,Kowanda ,1,58,ČSSD,ČSSD,5,0,448,1.38
11020028,11,Jihomoravský,28,Makovec Lukáš,nan,0,0,0,0,0,Makovec Lukáš,Lukáš,Makovec ,1,43,ANO,ANO,20,0,448,0.28
608011,6,Ústecký,11,Vágnerová Veronika,nan,0,0,0,0,0,Vágnerová Veronika,Veronika,Vágnerová ,0,48,TSS,Manifest.cz,8,0,447,3.87
1104013,11,Jihomoravský,13,Kment Jiří Bc.,Bc.,1,0,0,0,0,Kment Jiří ,Jiří ,Kment ,1,43,SPD,SPD,4,0,446,0.76
10020015,10,Vysočina,15,Šimečková Eva Mgr.,Mgr.,1,1,0,0,0,Šimečková Eva ,Eva ,Šimečková ,0,61,ANO,ANO,20,0,446,0.6
140304,14,Moravskoslezský,4,Hajduček Petr,nan,0,0,0,0,0,Hajduček Petr,Petr,Hajduček ,1,43,Volný blok,Volný blok,3,0,446,3.8
140101,14,Moravskoslezský,1,Dušková Martina Mgr.,Mgr.,1,1,0,0,0,Dušková Martina ,Martina ,Dušková ,0,42,Zelení,Zelení,1,0,445,7.82
10020012,10,Vysočina,12,Křivánek Václav,nan,0,0,0,0,0,Křivánek Václav,Václav,Křivánek ,1,52,ANO,ANO,20,0,443,0.59
100503,10,Vysočina,3,Kůrka Bohuslav Mgr. Bc.,Mgr. Bc.,2,1,0,0,0,Kůrka Bohuslav ,Bohuslav ,Kůrka ,1,50,ČSSD,ČSSD,5,0,442,2.43
120304,12,Olomoucký,4,Mathonová Jana MUDr.,MUDr.,1,0,0,0,0,Mathonová Jana ,Jana ,Mathonová ,0,63,Volný blok,BEZPP,3,0,441,8.43
50406,5,Karlovarský,6,Plhová Eva Mgr.,Mgr.,1,1,0,0,0,Plhová Eva ,Eva ,Plhová ,0,52,SPD,BEZPP,4,0,441,2.65
501801,5,Karlovarský,1,Hojda Pavel Ing.,Ing.,1,0,1,0,0,Hojda Pavel ,Pavel ,Hojda ,1,68,KSČM,KSČM,18,0,440,9.87
1101803,11,Jihomoravský,3,Zachová Miloslava,nan,0,0,0,0,0,Zachová Miloslava,Miloslava,Zachová ,0,53,KSČM,BEZPP,18,0,440,1.92
1104012,11,Jihomoravský,12,Šalomonová Růžena Mgr.,Mgr.,1,1,0,0,0,Šalomonová Růžena ,Růžena ,Šalomonová ,0,67,SPD,SPD,4,0,439,0.75
204019,2,Středočeský,19,Bošek Václav Mgr. MBA,Mgr. MBA,2,1,0,0,1,Bošek Václav ,Václav ,Bošek ,1,44,SPD,SPD,4,0,439,0.79
20302,2,Středočeský,2,Havránek Pavel,nan,0,0,0,0,0,Havránek Pavel,Pavel,Havránek ,1,46,Volný blok,Volný blok,3,0,439,6.63
20407,2,Středočeský,7,Hess Miloslav,nan,0,0,0,0,0,Hess Miloslav,Miloslav,Hess ,1,47,SPD,SPD,4,0,439,0.79
1001806,10,Vysočina,6,Sedláček Milan MUDr.,MUDr.,1,0,0,0,0,Sedláček Milan ,Milan ,Sedláček ,1,49,KSČM,KSČM,18,0,438,3.37
205010,2,Středočeský,10,Grunt David Ing.,Ing.,1,0,1,0,0,Grunt David ,David ,Grunt ,1,39,ČSSD,ČSSD,5,0,437,1.35
1408012,14,Moravskoslezský,12,Honajzer Martin Ing.,Ing.,1,0,1,0,0,Honajzer Martin ,Martin ,Honajzer ,1,52,TSS,Svobodní,8,0,437,3.06
401806,4,Plzeňský,6,Žáček Petr Ing.,Ing.,1,0,1,0,0,Žáček Petr ,Petr ,Žáček ,1,59,KSČM,KSČM,18,0,437,3.64
1201203,12,Olomoucký,3,Křupka Milan,nan,0,0,0,0,0,Křupka Milan,Milan,Křupka ,1,51,PŘÍSAHA,PŘÍSAHA,12,0,437,2.86
1020014,1,Hl. m. Praha,14,"Garlík Bohumír doc. Ing. CSc., DBA","doc. Ing. CSc., DBA",4,0,1,0,1,Garlík Bohumír ,Bohumír ,Garlík ,1,78,ANO,ANO,20,0,437,0.39
20509,2,Středočeský,9,Měchurová Miroslava PhDr.,PhDr.,1,0,0,0,0,Měchurová Miroslava ,Miroslava ,Měchurová ,0,69,ČSSD,ČSSD,5,0,436,1.35
901804,9,Pardubický,4,Snopek Václav Mgr. CSc.,Mgr. CSc.,2,1,0,0,0,Snopek Václav ,Václav ,Snopek ,1,70,KSČM,KSČM,18,0,435,4.15
14017011,14,Moravskoslezský,11,Babic Marian Mgr.,Mgr.,1,1,0,0,0,Babic Marian ,Marian ,Babic ,1,39,Piráti,Piráti,17,0,432,0.67
130301,13,Zlínský,1,Novosad Josef,nan,0,0,0,0,0,Novosad Josef,Josef,Novosad ,1,63,Volný blok,Volný blok,3,0,431,7.93
301807,3,Jihočeský,7,Tůmová Hana Ing. Ph.D.,Ing. Ph.D.,2,0,1,1,0,Tůmová Hana ,Hana ,Tůmová ,0,40,KSČM,KSČM,18,0,431,2.87
30805,3,Jihočeský,5,Mánek Jiří Mgr. MBA,Mgr. MBA,2,1,0,0,1,Mánek Jiří ,Jiří ,Mánek ,1,49,TSS,TSS,8,0,430,3.75
110105,11,Jihomoravský,5,Flamiková Jasna Mgr.,Mgr.,1,1,0,0,0,Flamiková Jasna ,Jasna ,Flamiková ,0,52,Zelení,Zelení,1,0,429,7.67
3017022,3,Jihočeský,22,Roubíček Jiří Ing.,Ing.,1,0,1,0,0,Roubíček Jiří ,Jiří ,Roubíček ,1,35,Piráti,Piráti,17,0,429,0.94
9017018,9,Pardubický,18,Vácha Vladek,nan,0,0,0,0,0,Vácha Vladek,Vladek,Vácha ,1,41,Piráti,Piráti,17,0,427,1.1
13020014,13,Zlínský,14,Žůrek Jaromír Ing. Bc. MBA,Ing. Bc. MBA,2,0,1,0,1,Žůrek Jaromír ,Jaromír ,Žůrek ,1,49,ANO,ANO,20,0,427,0.5
901207,9,Pardubický,7,Fikar Václav Mgr.,Mgr.,1,1,0,0,0,Fikar Václav ,Václav ,Fikar ,1,54,PŘÍSAHA,PŘÍSAHA,12,0,426,3.13
1404031,14,Moravskoslezský,31,Velička Lukáš Ing.,Ing.,1,0,1,0,0,Velička Lukáš ,Lukáš ,Velička ,1,39,SPD,SPD,4,0,426,0.57
1201804,12,Olomoucký,4,Vránová Věra Mgr. Ph.D.,Mgr. Ph.D.,2,1,0,1,0,Vránová Věra ,Věra ,Vránová ,0,67,KSČM,KSČM,18,0,426,3.29
1305011,13,Zlínský,11,Dostálek Vladimír Mgr.,Mgr.,1,1,0,0,0,Dostálek Vladimír ,Vladimír ,Dostálek ,1,35,ČSSD,ČSSD,5,0,425,2.77
13017017,13,Zlínský,17,Koudela Adam,nan,0,0,0,0,0,Koudela Adam,Adam,Koudela ,1,25,Piráti,Piráti,17,0,425,1
1020027,1,Hl. m. Praha,27,Kolář Jan Bc.,Bc.,1,0,0,0,0,Kolář Jan ,Jan ,Kolář ,1,37,ANO,ANO,20,0,424,0.38
110103,11,Jihomoravský,3,Ferčíková Konečná Irena Mgr. Ph.D.,Mgr. Ph.D.,2,1,0,1,0,Ferčíková Konečná Irena ,Irena ,Ferčíková Konečná ,0,43,Zelení,Zelení,1,0,424,7.58
104013,1,Hl. m. Praha,13,Brillant Petr JUDr.,JUDr.,1,0,0,0,0,Brillant Petr ,Petr ,Brillant ,1,49,SPD,SPD,4,0,423,1.46
140103,14,Moravskoslezský,3,Jahůdka Vaníková Gabriela MUDr.,MUDr.,1,0,0,0,0,Jahůdka Vaníková Gabriela ,Gabriela ,Jahůdka Vaníková ,0,49,Zelení,Zelení,1,0,422,7.41
404014,4,Plzeňský,14,Mašíček Petr,nan,0,0,0,0,0,Mašíček Petr,Petr,Mašíček ,1,43,SPD,SPD,4,0,421,1.45
601203,6,Ústecký,3,Hajdina Karel,nan,0,0,0,0,0,Hajdina Karel,Karel,Hajdina ,1,54,PŘÍSAHA,PŘÍSAHA,12,0,421,2.55
80802,8,Královéhradecký,2,Cvejn Zdeněk Mgr. Ing.,Mgr. Ing.,2,1,1,0,0,Cvejn Zdeněk ,Zdeněk ,Cvejn ,1,40,TSS,TSS,8,0,420,4.84
1012010,1,Hl. m. Praha,10,Husa Martin Mgr. Ing.,Mgr. Ing.,2,1,1,0,0,Husa Martin ,Martin ,Husa ,1,47,PŘÍSAHA,BEZPP,12,0,420,1.96
10018011,10,Vysočina,11,Nevoral Marek,nan,0,0,0,0,0,Nevoral Marek,Marek,Nevoral ,1,45,KSČM,KSČM,18,0,420,3.24
3018022,3,Jihočeský,22,Vytiska Tomeš JUDr.,JUDr.,1,0,0,0,0,Vytiska Tomeš ,Tomeš ,Vytiska ,1,66,KSČM,KSČM,18,0,419,2.79
108029,1,Hl. m. Praha,29,Kvapilová Lucie,nan,0,0,0,0,0,Kvapilová Lucie,Lucie,Kvapilová ,0,34,TSS,Svobodní,8,0,419,2.6
2020028,2,Středočeský,28,Žižka Karel,nan,0,0,0,0,0,Žižka Karel,Karel,Žižka ,1,65,ANO,ANO,20,0,419,0.23
60504,6,Ústecký,4,Kyjovská Eva Mgr. Bc. MBA,Mgr. Bc. MBA,2,1,0,0,1,Kyjovská Eva ,Eva ,Kyjovská ,0,52,ČSSD,ČSSD,5,0,419,3.47
1405010,14,Moravskoslezský,10,Smrček Petr Ing.,Ing.,1,0,1,0,0,Smrček Petr ,Petr ,Smrček ,1,52,ČSSD,ČSSD,5,0,418,1.33
110509,11,Jihomoravský,9,Nováček Petr Mgr.,Mgr.,1,1,0,0,0,Nováček Petr ,Petr ,Nováček ,0,34,ČSSD,ČSSD,5,0,418,1.51
1404017,14,Moravskoslezský,17,Dendis Pavel Ing.,Ing.,1,0,1,0,0,Dendis Pavel ,Pavel ,Dendis ,1,42,SPD,SPD,4,0,417,0.56
1017023,1,Hl. m. Praha,23,Doseděl František Mgr.,Mgr.,1,1,0,0,0,Doseděl František ,František ,Doseděl ,1,34,Piráti,Piráti,17,0,417,0.29
404018,4,Plzeňský,18,Orava Libor Ing.,Ing.,1,0,1,0,0,Orava Libor ,Libor ,Orava ,1,59,SPD,SPD,4,0,415,1.43
801206,8,Královéhradecký,6,Šolc Zdeněk Mgr.,Mgr.,1,1,0,0,0,Šolc Zdeněk ,Zdeněk ,Šolc ,1,46,PŘÍSAHA,BEZPP,12,0,415,2.97
11012018,11,Jihomoravský,18,Žůrek Petr Mgr.,Mgr.,1,1,0,0,0,Žůrek Petr ,Petr ,Žůrek ,1,43,PŘÍSAHA,BEZPP,12,0,414,1.09
604016,6,Ústecký,16,Kuchtová Andrea,nan,0,0,0,0,0,Kuchtová Andrea,Andrea,Kuchtová ,0,30,SPD,SPD,4,0,414,0.92
101206,1,Hl. m. Praha,6,Matulík Jiří Bc.,Bc.,1,0,0,0,0,Matulík Jiří ,Jiří ,Matulík ,1,45,PŘÍSAHA,PŘÍSAHA,12,0,413,1.92
204021,2,Středočeský,21,Vacek Leoš,nan,0,0,0,0,0,Vacek Leoš,Leoš,Vacek ,1,43,SPD,SPD,4,0,413,0.74
14017033,14,Moravskoslezský,33,Ručka Ondřej JUDr.,JUDr.,1,0,0,0,0,Ručka Ondřej ,Ondřej ,Ručka ,1,38,Piráti,Piráti,17,0,412,0.63
100504,10,Vysočina,4,Nováková Hotařová Jana Mgr.,Mgr.,1,1,0,0,0,Nováková Hotařová Jana ,Jana ,Nováková Hotařová ,0,57,ČSSD,ČSSD,5,0,412,2.26
140409,14,Moravskoslezský,9,Pořízka Michal,nan,0,0,0,0,0,Pořízka Michal,Michal,Pořízka ,1,56,SPD,SPD,4,0,412,0.55
1401205,14,Moravskoslezský,5,Kocúrková Radmila,nan,0,0,0,0,0,Kocúrková Radmila,Radmila,Kocúrková ,0,43,PŘÍSAHA,PŘÍSAHA,12,0,411,1.45
402008,4,Plzeňský,8,Feierfeil Ladislav,nan,0,0,0,0,0,Feierfeil Ladislav,Ladislav,Feierfeil ,1,71,ANO,ANO,20,0,411,0.48
604017,6,Ústecký,17,Haase Zbyněk,nan,0,0,0,0,0,Haase Zbyněk,Zbyněk,Haase ,1,40,SPD,SPD,4,0,411,0.91
6017026,6,Ústecký,26,Štěpánek Zdeněk Bc.,Bc.,1,0,0,0,0,Štěpánek Zdeněk ,Zdeněk ,Štěpánek ,1,38,Piráti,Piráti,17,0,410,0.77
100509,10,Vysočina,9,Ryšavý Zdeněk,nan,0,0,0,0,0,Ryšavý Zdeněk,Zdeněk,Ryšavý ,1,55,ČSSD,ČSSD,5,0,410,2.25
100507,10,Vysočina,7,"Kettner Lukáš MUDr. MBA, MHA","MUDr. MBA, MHA",2,0,0,0,1,Kettner Lukáš ,Lukáš ,Kettner ,1,48,ČSSD,ČSSD,5,0,409,2.25
90801,9,Pardubický,1,Bajer Petr,nan,0,0,0,0,0,Bajer Petr,Petr,Bajer ,1,54,TSS,Soukromníci,8,0,408,5.18
